date,home_team,away_team,home_score,away_score,city,country,neutral,target
1994,66,68,3.0,0.0,155,15,1,1
1994,56,2,3.0,2.0,103,15,1,1
1994,58,67,1.0,3.0,28,15,1,2
1994,44,55,2.0,0.0,97,15,1,1
1994,75,8,0.0,1.0,101,15,0,2
1994,42,9,1.0,1.0,32,15,1,0
1994,46,37,1.0,2.0,38,15,1,2
1994,38,66,2.0,1.0,38,15,1,1
1994,44,8,2.0,3.0,28,15,1,2
1994,9,27,2.0,1.0,32,15,1,1
1994,56,67,2.0,2.0,101,15,1,0
1994,9,37,1.0,2.0,32,15,1,2
1994,67,8,0.0,1.0,103,15,1,2
1994,67,9,4.0,0.0,103,15,1,1
1994,8,37,0.0,0.0,103,15,1,0
1998,8,59,2.0,1.0,121,4,1,1
1998,43,49,2.0,2.0,84,4,1,0
1998,10,4,1.0,1.0,142,4,1,0
1998,38,12,2.0,2.0,13,4,1,0
1998,26,64,3.0,0.0,77,4,0,1
1998,51,9,0.0,0.0,84,4,1,0
1998,58,20,0.0,1.0,65,4,1,2
1998,65,42,1.0,3.0,71,4,1,2
1998,44,5,0.0,0.0,121,4,1,0
1998,66,46,2.0,3.0,88,4,1,2
1998,2,40,1.0,0.0,142,4,1,1
1998,40,16,1.0,3.0,65,4,1,2
1998,61,35,1.0,0.0,122,4,1,1
1998,25,71,2.0,0.0,77,4,1,1
1998,28,75,2.0,0.0,102,4,1,1
1998,56,14,1.0,0.0,71,4,1,1
1998,8,43,3.0,0.0,88,4,1,1
1998,59,49,1.0,1.0,13,4,1,0
1998,12,4,1.0,1.0,122,4,1,0
1998,38,10,3.0,0.0,84,4,1,1
1998,26,58,4.0,0.0,121,4,0,1
1998,64,20,1.0,1.0,142,4,1,0
1998,46,9,1.0,0.0,102,4,1,1
1998,66,51,0.0,0.0,122,4,1,0
1998,5,42,2.0,2.0,13,4,1,0
1998,41,16,0.0,1.0,88,4,1,2
1998,44,65,5.0,0.0,77,4,1,1
1998,2,39,5.0,0.0,102,4,1,1
1998,28,61,2.0,2.0,65,4,1,0
1998,75,35,1.0,2.0,71,4,1,2
1998,14,71,1.0,0.0,84,4,1,1
1998,56,24,2.0,1.0,142,4,1,1
1998,8,49,1.0,2.0,77,4,1,2
1998,12,10,1.0,1.0,88,4,1,0
1998,38,4,2.0,1.0,121,4,1,1
1998,59,43,0.0,3.0,122,4,1,2
1998,26,20,2.0,1.0,71,4,0,1
1998,46,51,1.0,3.0,142,4,1,2
1998,64,58,2.0,2.0,13,4,1,0
1998,66,9,6.0,1.0,65,4,1,1
1998,5,65,1.0,1.0,102,4,1,0
1998,28,35,2.0,0.0,84,4,1,1
1998,44,42,2.0,2.0,122,4,1,0
1998,75,61,0.0,1.0,88,4,1,2
1998,2,16,1.0,0.0,13,4,1,1
1998,14,24,0.0,2.0,65,4,1,2
1998,41,39,1.0,2.0,71,4,1,2
1998,56,71,1.0,1.0,121,4,1,0
1998,8,12,4.0,1.0,102,4,1,1
1998,38,49,1.0,0.0,77,4,1,1
1998,26,51,1.0,0.0,65,4,0,1
1998,46,20,1.0,4.0,121,4,1,2
1998,28,42,2.0,1.0,84,4,1,1
1998,44,61,2.0,1.0,142,4,1,1
1998,2,24,2.0,2.0,122,4,1,0
1998,56,16,0.0,1.0,13,4,1,2
1998,8,20,3.0,2.0,88,4,1,1
1998,26,37,0.0,0.0,121,4,0,0
1998,28,16,0.0,3.0,71,4,1,2
1998,44,2,2.0,1.0,77,4,1,1
1998,8,44,1.0,1.0,77,4,1,0
1998,26,16,2.0,1.0,121,4,0,1
1998,44,16,1.0,2.0,102,4,1,2
1998,26,8,3.0,0.0,121,4,0,1
2002,26,60,0.0,1.0,131,11,1,2
2002,28,58,8.0,0.0,128,7,1,1
2002,55,10,1.0,1.0,93,7,1,0
2002,76,20,1.0,2.0,147,11,1,2
2002,2,46,1.0,0.0,58,7,1,1
2002,25,67,1.0,1.0,123,7,1,0
2002,51,64,2.0,2.0,17,11,1,0
2002,66,63,3.0,1.0,47,11,1,1
2002,8,72,2.0,1.0,147,11,1,1
2002,16,42,0.0,1.0,93,7,1,2
2002,38,21,2.0,0.0,128,7,1,1
2002,13,15,0.0,2.0,47,11,1,2
2002,41,5,2.0,2.0,123,7,0,0
2002,65,53,2.0,0.0,17,11,0,1
2002,28,55,1.0,1.0,58,7,1,0
2002,57,71,2.0,0.0,60,7,1,1
2002,75,54,3.0,2.0,139,11,1,1
2002,10,58,1.0,0.0,123,7,1,1
2002,21,60,1.0,1.0,26,11,1,0
2002,26,76,0.0,0.0,17,11,1,0
2002,2,24,0.0,1.0,128,7,1,2
2002,66,51,3.0,1.0,54,11,1,1
2002,67,46,2.0,1.0,60,7,1,1
2002,8,13,4.0,0.0,130,11,1,1
2002,38,16,1.0,2.0,58,7,1,2
